MINES_ParisTech 
grandesecoles
uCezanne,48312379
UnivAvignon,47914316
upjv,420364485
utc_compiegne,36338247
utbm_fr,151507111
univbordeaux,91130731
bordeauxsegalen,92051647
ubordeaux3,154462399
universite_uppa,214819961
Universite_Caen,339048053
Univ_Auvergne,53532116
Univ_Clermont2,76651058
UnivCorse,249232819
univbourgogne,331624793
Univ_Savoie,378587265
grenoble_univ,124402497
Univ_Artois,196099745
Univ_Lille1,70366554
univ_lille2,435704462
Lille3,89969779
unilim,18214484
UnivLyon1,57273558
univ_lyon2,128898396
UJML,117008734
ucly,69604447
Univ_St_Etienne,372715811
UniversiteLyon,125296735
umontp1,116691232
UMontp2,172459827
univmontp3,87926393
unimesfr,419528366
upvd1,474702426
Univ_Lorraine,329665290
UnivAngers,34917842
Universite_Mans,316980605
UnivNantes,12865632
Univ_Nice,71276583
univtoulon,81777565
UnivTours,115386275
SorbonneParis1,115711568
AssasTwits,303849254
SorbNouvelle,98860704
Paris_Sorbonne,220280882
upmc,19063270
ParisDiderot,51400447
UnivParis8,157316411
Paris_Dauphine,78908122
upemlv,108951648
UPECactus,199646482
ComParis13,377385300
UniversiteCergy,186077944
ParisOuest,84258886
u_psud,618007107
uvsq,74689258
UnivPoitiers,183960152
UnivLaRochelle,124169763
universitereims,275420009
UBO_UnivBrest,84282694
UnivRennes1,72280875
Univ_Rennes2,495261041
unistra,241983838
UT1Capitole,85128804
UT2LeMirail,95056074
UT3PaulSabatier,441683520
UnivChampollion,237221714
UAntillesGuyane,77241086
universitepf,76185539
Univ_Reunion,284429658
